politician_name,revision_id,quality_prediction,pageid
Abdul Baqi Turkistani,1231655023.0,Stub,27428272.0
Abdul Ghani Ghani,1227026187.0,Stub,29443640.0
Abdul Rahim Ayoubi,1226326055.0,Start,44482763.0
Ahmad Wali Massoud,1221720658.0,Start,34682634.0
Aimal Faizi,1185105938.0,Stub,52438668.0
Amir Muhammad Akhundzada,1247931713.0,Start,12084570.0
Aziza Ahmadyar,1195651393.0,Start,47805901.0
Azizullah Lodin,1247762293.0,Start,24850187.0
Baran Khan Kudezai,1176481824.0,Start,23672202.0
Bashir Ahmad Bezan,1248505877.0,Start,27663861.0
Cheragh Ali Cheragh,1193992206.0,Start,24963809.0
Ezatullah (Nangarhar),1158302291.0,Stub,15842120.0
Fazel Ahmed Manawi,1234514379.0,Start,273143.0
Gajinder Singh Safri,1212323536.0,Stub,72903967.0
Ghulam Ghaus,1158659195.0,Stub,68918472.0
Ghulam Muhammad Ghobar,1240993642.0,Stub,25630787.0
Hafizullah Shabaz Khail,1238402857.0,Start,5294659.0
Haroon al-Afghani,1230459615.0,B,11966231.0
Hashmat Ghani Ahmadzai,1207743719.0,C,13368923.0
Ismael Balkhi,1244521219.0,Start,25153929.0
Jan Baz,1227635806.0,Stub,10305348.0
Khadija Zahra Ahmadi,1234741562.0,Stub,71600382.0
Mahboba Hoqomal,1243745950.0,Stub,35512380.0
Majah Ha Adrif,1233202991.0,Start,10483286.0
Masoud Khalili,1246566971.0,GA,3056711.0
Mirza Muhammad Ismail,1235165845.0,C,39258771.0
Moeen Marastial,1246567093.0,Start,64024293.0
Mohammad Daud Miraki,1227103354.0,C,24781312.0
Mohammad Ghous Bashiri,1237694188.0,Start,40960242.0
Mohammad Gul (Helmand Council),1136611354.0,Stub,26027316.0
Mohammad Khan (athlete),1247727443.0,Stub,45419022.0
Mohammad Sarwar Ahmedzai,1176429234.0,Start,27664854.0
Mohammad Siddiq Chakari,1134129082.0,Stub,14454477.0
Muhammad Hashim Esmatullahi,949986748.0,Stub,26835722.0
Muqadasa Ahmadzai,1235521766.0,Start,70019038.0
Musa Hotak,1246566804.0,Start,8575012.0
Nasir Ahmad Durrani,988838315.0,Stub,59378987.0
Nasrullah Baryalai Arsalai,1225385278.0,Start,22588409.0
Qutbuddin Hilal,1246566795.0,Start,41835910.0
Rafiullah Bidar,1197443408.0,Stub,16351100.0
Rangina Hamidi,1234743111.0,C,68487239.0
Razaq Mamoon,1227180106.0,Start,17013397.0
Said Tayeb Jawad,1248976824.0,C,6392185.0
Samoud Khan,1195409073.0,Start,7493859.0
Sayed Jalal,1137130537.0,Start,21500352.0
Sayed Jalal Karim,1136614743.0,Start,27668571.0
Sayed Yousuf Halim,1234514565.0,Stub,72051141.0
Sayed Zafar Hashemi,1179137138.0,Start,52438868.0
Sharif Ghalib,1245967190.0,Start,8054084.0
Tayyab Agha,1225661708.0,Start,46841383.0
Abdul Ghafor Zori,1136614520.0,Stub,27656055.0
Abdul Karim Misaq,1235405154.0,Stub,69128654.0
Abdul Majid Samim,1225425205.0,Stub,27678731.0
Abdul Salam Zaeef,1243758857.0,GA,627316.0
Abdul Sattar Mirzakwal,1145249317.0,Stub,68481190.0
Abdul Zahir (Konar Education Minister),1126667481.0,Stub,24671281.0
Ahmadullah Wasiq,1171042170.0,Start,68624823.0
Ali Mohammad (politician),1136630194.0,Stub,35520084.0
Ali Pasha of Gusinje,1244421894.0,GA,7249978.0
Azis Tahir Ajdonati,1192928746.0,Stub,19887970.0
Baktash Siawash,1236603169.0,Stub,38515087.0
Bardhok Biba,1250227174.0,C,30319287.0
Bislim Bajgora,1217284690.0,C,49011996.0
Daoud Naji,1247131367.0,Start,66087536.0
Davood Moradian,1239319380.0,Stub,41428570.0
Fazal Hadi Shinwari,1242412237.0,GA,2202177.0
Gholam Rabani Nasher,1136534788.0,Stub,2333651.0
Ghulam Faroq Nijrabi,1136614778.0,Stub,27669652.0
Ghulam Hassan Safi,1176507815.0,Stub,25634863.0
Ghulam Mohammad Rigi,1129192917.0,Stub,27657851.0
Gul Ahmmad Yama,1136614561.0,Start,27656776.0
Hanifa Safi,1123824802.0,Stub,36473152.0
Hasan Ali Sultani,1136614726.0,Stub,27666240.0
Hysni Curri,1198914812.0,Start,41892010.0
Ibrahim Dalliu,1248264998.0,Start,48684644.0
Kastriot Berissa,1244463139.0,Start,52237560.0
Kostandin Boshnjaku,1250227994.0,C,40754760.0
Mohammad Hashem Taufiqui,1233490009.0,Start,23564221.0
Mohammed Qalamuddin,1178097642.0,Stub,212331.0
Mohammed Tahir Omar,1185088733.0,Stub,29170618.0
Mohammed Zaman,1229734414.0,Start,4928280.0
Mohammed Zia Salehi,1225457074.0,Stub,28566318.0
Nasruddin Mohseni,1136630129.0,Start,35507800.0
Neritan Ceka,1184807608.0,Start,15675174.0
Niazi Demi,1209346411.0,Stub,27166018.0
Pacha Gul Wafadar,1227179979.0,Stub,47145503.0
Qari Ziauddin,1245217124.0,Start,13849010.0
Refo Çapari,1222381064.0,Start,31301973.0
Saber Sangar,1227951669.0,Stub,51559994.0
Safet Butka,1189442848.0,C,28634810.0
Sardar Mohammad Nadir Naeem,1204109653.0,Stub,41840150.0
Sayed Nasim Mihanparast,1172646418.0,Stub,34845573.0
Spartak Braho,1224650124.0,Start,62554029.0
Suhail Shaheen,1198363158.0,Start,68232272.0
Uran Butka,1196422551.0,Start,60567913.0
Wahidullah Waissi,1232389768.0,C,52202939.0
Ylli Asllani,1221605713.0,Start,43393251.0
Zabih-U-llah Ghazi Noristani,1136614682.0,Start,27664625.0
Zalmai Mujadidi,1223903677.0,Start,34497282.0
Ziauddin (Afghan militia leader),1150044800.0,Start,12829636.0
Abas Ermenji,1240801210.0,Start,20380987.0
Abdurrahman Dibra,1244008227.0,Start,20381110.0
Adrian Neritani,1196135017.0,Start,5494953.0
Afrim Tole,1241836925.0,Stub,63869149.0
Ahmed Dino,1209165678.0,Stub,28065431.0
Alfred Karamuço,1098236555.0,Stub,20381295.0
Ali Këlcyra,1227369252.0,Start,26297658.0
Aqif Pasha Elbasani,1243882903.0,GA,41985495.0
Artur Kuko,1112281132.0,Stub,31509315.0
Athanas Shundi,1220369492.0,C,68783046.0
Avni Rustemi,1229276965.0,Start,14069803.0
Aćif Hadžiahmetović,1229938943.0,GA,36774890.0
Bajram Kelmendi,1237006808.0,Start,17273406.0
Bedri Pejani,1220757655.0,C,19888020.0
Behxhet Nepravishta,1180949734.0,Stub,30070258.0
Bujar Dida,1222151681.0,C,51293921.0
Chatin Sarachi,1141930406.0,C,9088115.0
Eduard Shalsi,1173107489.0,Start,31573475.0
Elez Koçi,1174010569.0,Start,18022058.0
Ferhat Bey Draga,1236738861.0,C,41877968.0
Gjon Markagjoni,1227760361.0,C,10398792.0
High Council of Regency,1245450388.0,C,32349836.0
Hysni Milloshi,1218412314.0,Start,22352985.0
Ibrahim Karbunara,1235824719.0,C,65554476.0
Ibrahim Temo,1228151428.0,GA,27611512.0
Kadri Prishtina,1198167947.0,Start,41883528.0
Kristo Kirka,1237950375.0,C,44712134.0
Kryeziu family,1236739222.0,Start,40795168.0
Kurt Agë Kadiu,1244486529.0,Stub,19887779.0
Mehmed Kalakula,1145510350.0,Stub,30069896.0
Mehmet Tahsini,1239924043.0,Stub,28382311.0
Mihal Grameno,1226635783.0,C,27373846.0
Musa Qazimi,1235824584.0,GA,58108950.0
Mustafa Ndroqi,1198219291.0,Stub,32349706.0
Nebi Sefa,1244486537.0,Stub,19887761.0
Nexhip Draga,1236738502.0,GA,26992194.0
Qamil Musa Haxhi Feza,1198224146.0,Stub,32349690.0
Rasih Dino,1180949327.0,Stub,28077287.0
Sabit Lulo,1180950488.0,Stub,28362818.0
Sabri Godo,1230739582.0,C,30559670.0
Sali Nivica,1240539074.0,Start,33944243.0
Syreja Vlora,1186986269.0,Start,19887929.0
Tefik Mborja,1234673487.0,Start,25589553.0
Themistokli Gërmenji,1241037317.0,C,30489046.0
Thoma Orologa,1180949774.0,Start,30250352.0
Xhavid Leskoviku,1180950536.0,Start,70365511.0
Xhelal Koprëncka,1209148780.0,Stub,19887745.0
Xhelal Sveçla,1217259369.0,Start,71208531.0
Ylli Vesel Shehu,1240443327.0,Stub,54102033.0
Ymer Prizreni,1215667416.0,Start,15757646.0
Abdelhakim Belabed,1218173615.0,Start,71926293.0
